[20:43:49.702] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Coordination {1781346275950860}] ()
[20:43:49.702] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Hunter's Boon {1781346275950592}] ()
[20:43:49.703] [@Ta'llia] [@Ta'llia] [Hunter's Boon {1781346275950592}] [ApplyEffect {836045448945477}: Unnatural Might {1781346275950868}] ()
[20:47:34.231] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:47:36.739] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:47:36.739] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:47:39.835] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:48:12.896] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:48:15.896] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:48:17.605] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:48:17.605] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:48:19.899] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:48:28.408] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:48:30.908] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:48:33.116] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:48:33.117] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:48:35.375] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:48:44.233] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:48:46.236] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:48:51.531] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:48:51.531] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:48:53.024] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:49:00.335] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:49:04.452] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:49:07.862] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:49:07.863] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:49:09.655] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:49:16.214] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:49:19.113] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:49:24.425] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:49:24.425] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:49:27.852] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:49:32.172] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:49:35.777] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:49:40.054] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:49:40.055] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:49:41.346] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:49:47.656] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:49:49.254] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:49:55.616] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:49:55.616] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:49:57.942] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:50:03.333] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:50:06.750] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:50:07.576] [@Ta'llia] [@Ta'llia] [High Velocity Gas Cylinder {2022311121125376}] [RemoveEffect {836045448945478}: High Velocity Gas Cylinder {2022311121125376}] ()
[20:50:07.577] [@Ta'llia] [@Ta'llia] [High Velocity Gas Cylinder {2022311121125376}] [Event {836045448945472}: AbilityDeactivate {836045448945480}] ()
[20:50:11.762] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:50:11.762] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:50:14.356] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:50:18.565] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:50:20.560] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:50:27.358] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:50:27.358] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:50:32.336] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:50:34.841] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:50:37.540] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:50:43.220] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:50:43.220] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:50:44.712] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:50:55.256] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:50:58.557] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:51:02.468] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:51:02.468] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:51:04.011] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:51:10.835] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:51:18.172] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:51:19.181] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:51:19.181] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:51:22.175] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:51:27.181] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:51:30.881] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:51:36.039] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:51:36.040] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:51:38.020] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:51:42.393] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:51:48.361] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:51:52.340] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:51:52.340] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:51:58.236] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:51:59.840] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:52:04.875] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:52:07.490] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:52:07.490] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:52:10.612] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:52:15.218] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:52:33.264] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:52:34.272] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:52:34.272] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:52:35.968] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:52:36.965] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:52:37.866] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:52:49.867] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:52:49.867] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:52:53.381] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:52:54.380] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:52:54.779] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:53:05.997] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:53:05.997] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:53:08.808] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:53:10.211] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:53:12.611] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:53:23.727] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:53:23.728] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:53:27.322] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:53:28.926] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:53:31.426] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:53:40.540] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:53:40.541] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:53:42.334] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:53:44.571] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:53:47.271] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:53:56.536] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:53:56.537] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:53:59.049] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:54:00.452] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:54:04.570] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:54:12.701] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:54:12.701] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:54:14.077] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:54:16.181] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:54:18.881] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:54:28.814] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:54:28.814] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:54:30.723] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:54:32.327] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:54:37.879] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:54:48.462] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:54:48.462] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:54:50.455] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:54:51.960] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:54:54.059] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:55:06.742] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:55:06.742] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:55:08.738] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:55:10.736] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:55:25.122] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:55:25.123] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:55:26.899] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:55:27.116] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:55:28.403] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:55:33.404] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:55:41.119] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
[20:55:41.119] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:55:43.912] [@Ta'llia] [@Xalya] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:55:45.016] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [ApplyEffect {836045448945477}: Snowflakes {3340659922567424}] ()
[20:55:50.384] [@Xalya] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [RemoveEffect {836045448945478}: Snowflakes {3340659922567424}] ()
[20:56:05.805] [@Ta'llia] [@Ta'llia] [Life Day Snowball Bomb {3340659922567168}] [Event {836045448945472}: AbilityActivate {836045448945479}] ()
